Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 47 liftover	Papillary carcinoma	"Papillary carcinoma, NOS"	
Release 47 liftover	Papillary carcinoma diffuse sclerosing variant with left lobe dominant nodule and diffuse bilateral intraglandular spread	"Papillary carcinoma, NOS"	
Release 47 liftover	Papillary carcinoma of thyroid	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary carcinoma, classic (usual, conventional), metastatic tumor"	"Papillary carcinoma, NOS"	
Release 47 liftover	"Papillary carcinoma, classic subtype"	"Papillary carcinoma, NOS"	
Release 47 liftover	"Papillary carcinoma, classic subtype involving left superior lobe"	"Papillary carcinoma, NOS"	
Release 47 liftover	"Papillary carcinoma, classic/conventional type"	"Papillary carcinoma, NOS"	
Release 47 liftover	"Papillary carcinoma, encapsulated classic subtype"	"Papillary carcinoma, NOS"	
Release 47 liftover	Papillary glioneural tumor	Papillary glioneuronal tumor	
Release 47 liftover	"Papillary glioneuronal tumor, CNS WHO grade 1"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Papillary glioneuronal tumor, WHO Grade 1"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Papillary lesion with atypical/high grade features	Unknown	
Release 47 liftover	"Papillary neoplasm, favor choroid plexus neoplasm"	"Neoplasm, NOS"	
Release 47 liftover	"Papillary neoplasm, favor choroid plexus papilloma with atypia (necrosis)"	"Neoplasm, NOS"	
Release 47 liftover	"Papillary neoplasm, favor choroid plexus tumor"	"Neoplasm, NOS"	
Release 47 liftover	Papillary thyroid carcinoma (Follicular variant)	Papillary Thyroid Carcinoma	
Release 47 liftover	Papillary thyroid carcinoma (metastatic)	Papillary Thyroid Carcinoma	
Release 47 liftover	Papillary thyroid carcinoma classic type	Papillary Thyroid Carcinoma	
Release 47 liftover	Papillary thyroid carcinoma involving left lobe	Papillary Thyroid Carcinoma	
Release 47 liftover	Papillary thyroid carcinoma with histopathological features compatible with Hashimoto's thyroiditis.	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, classic"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, classic subtype"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, classic type"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, classic variant"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, conventional type"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, conventional type, multifocal, confined to thyroid gland"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, diffuse sclerosing variant"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, encapsulated follicular variant with tumor capsular invasion"	"Papillary carcinoma, encapsulated of thyroid"	
Release 47 liftover	"Papillary thyroid carcinoma, multifocal"	Papillary Thyroid Carcinoma	
Release 47 liftover	"Papillary thyroid carcinoma, multifocal, classic subtype"	Papillary Thyroid Carcinoma	
Release 47 liftover	Papillary thyroid microcarcinoma	Papillary microcarcinoma	
Release 47 liftover	"Papillary thyroid microcarcinoma , Classic variant with negative surgical margins in background of diffuse chronic lymphocytic thyroiditis"	Papillary microcarcinoma	
Release 47 liftover	"Papillary thyroid microcarcinoma, classic subtype"	Papillary microcarcinoma	
Release 47 liftover	"Papillary thyroid microcarcinoma, classic variant"	Papillary microcarcinoma	
Release 47 liftover	Papillary tumor	"Neoplasm, NOS"	
Release 47 liftover	Papillary tumor of the pineal region	Papillary tumor of pineal region	
Release 47 liftover	"Papillary tumor of the pineal region, CNS WHO grade 2"	Papillary tumor of pineal region	
Release 47 liftover	"Papillary tumor, favor low grade"	"Neoplasm, NOS"	
Release 47 liftover	"Papilloma of the choroid plexus, WHO grade 1"	Choroid plexus papilloma	
Release 47 liftover	"Paraganglioma adjacent to the adrenal gland, SDHB negative"	Paraganglioma	
Release 47 liftover	Paraganglioma SDHB Deficient	Paraganglioma	
Release 47 liftover	"Paraganglioma, poorly differentiated"	Paraganglioma	
Release 47 liftover	Paraspinal mass	"Neoplasm, NOS"	
Release 47 liftover	Paraspinal mass; previous biopsy Dx chordoma	Chordoma	
Release 47 liftover	Parasympathetic paraganglioma	Paraganglioma	
Release 47 liftover	Paratesticular embryonal rhabdomyosarcoma	Embryonal Rhabdomyosarcoma	
Release 47 liftover	Paratesticular embryonal rhabdomyosarcoma with spindle cell features	Embryonal Rhabdomyosarcoma	
Release 47 liftover	Paratesticular rhabdomyosarcoma	Rhabdomyosarcoma	
Release 47 liftover	Paratesticular rhabdomyosarcoma with diffuse anaplasia	Rhabdomyosarcoma	
Release 47 liftover	"Paratesticular rhabdomyosarcoma, favor embryonal"	Rhabdomyosarcoma	
Release 47 liftover	"Paratesticular rhabdomyosarcoma, favor embryonal type"	Rhabdomyosarcoma	
Release 47 liftover	Paratesticular spindle cell rhabdomyosarcoma	Spindle cell rhabdomyosarcoma	
Release 47 liftover	Paratesticular Spindle Cell/Sclerosing Rhabdomyosarcoma	Spindle Cell/Sclerosing Rhabdomyosarcoma	
Release 47 liftover	pattern best fits with desmoplastic small round cell tumor	Unknown	
Release 47 liftover	Pediatric diffuse high grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Pediatric high-grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Pediatric low grade glial/glioneuronal neoplasia	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Pediatric neuroepithelial tumor with ROS1 fusion	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Pediatric type diffuse glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Pediatric type diffuse glioma with angiocentric pattern	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Pediatric type diffuse low grad astrocytoma, consistent with methylation array finding suggestive of MYB/MYBL1-altered (CNS WHO grade 1)"	"Astrocytoma, NOS"	
Release 47 liftover	"Pediatric type diffuse low grade glioma, BRAF rearranged"	"Pediatric-type Diffuse Low-grade Gliomas, NEC"	
Release 47 liftover	Pediatric type diffuse low-grade appearing glioma	"Pediatric-type Diffuse Low-grade Gliomas, NEC"	
Release 47 liftover	Pediatric-type diffuse high grade glioma	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	"Pediatric-type diffuse high-grade glioma, CNS WHO grade 4"	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	"Pediatric-type diffuse high-grade glioma, WHO grade 4"	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	"Pediatric-type diffuse-type glioma, cannot entirely exclude diffuse midline glioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Pediatric-type glioma, CNS WHO grade 4"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Pediatric-type high-grade glioma, H-3 wildtype and IDH-wildtype, not elsewhere classified"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Per report, FOXO1 rearragement is present, therefore this would classify as an alveolar rhabdomyosarcoma"	Alveolar rhabdomyosarcoma	
Release 47 liftover	Peripheral neuroblastic tumor	"Neoplasm, NOS"	
Release 47 liftover	PFA Ependymoma	Posterior Fossa Group A (PFA) Ependymoma	
Release 47 liftover	Pheochromocytoma (adrenal paraganglioma)	Pheochromocytoma	
Release 47 liftover	Pheochromocytoma with focal ganglioneuromatous elements	Pheochromocytoma	
Release 47 liftover	Pheochromocytoma with no malignant features	Pheochromocytoma	
Release 47 liftover	"Pheochromocytoma, moderately-differentiated"	Pheochromocytoma	
Release 47 liftover	Pilocytic astrocytoma (CNS WHO grade 1)	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma (WHO Grade 1)	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma (WHO GRADE 1) with focally increased mitoses	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma CNS WHO Grade 1	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma WHO 1	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma WHO grade 1	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma with focal pilomyxoid morphology	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma with high proliferative fraction	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma with pilomyxoid features	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic astrocytoma with pilomyxoid features WHO grade 1	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, BRAF - rearranged"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, BRAF p.V600E-mutant (WHO grade 1)"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, BRAF-altered, WHO grade 1"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, BRAF-rearranged"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, BRAF-rearranged CNS WHO Grade 1"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, BRAF-rearranged."	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, CNS WHO GRADE 1"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, CNS WHO grade 1, BRAF-KIAA1549 fusion positive"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, CNS WHO grade 1, with BRAF V600E mutant protein expression"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, CNS WHO grade I"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, infiltrative pattern, WHO grade 1"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, KIAA1549::BRAF fusion (WHO grade 1)"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, KIAA1549::BRAF fusion-positive (WHO grade 1)"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, optic (WHO grade 1)"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, Pilomyxoid astrocytoma subtype, CNS WHO grade 1"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, pilomyxoid type"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, WHO CNS Grade 1"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, WHO grade 1"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, WHO Grade 1, in cerebellum"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, WHO grade 1, KIAA1549-BRAF fusion"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, WHO grade I"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, with foci of myxoid tumor, coagulative necrosis, and calcification"	Pilocytic astrocytoma	
Release 47 liftover	"Pilocytic astrocytoma, with infiltrative component CNS WHO grade 1"	Pilocytic astrocytoma	
Release 47 liftover	Pilocytic or pilomyxoid astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	Piloid glial neoplasia/favor low grade	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Piloid glial proliferation	Unknown	
Release 47 liftover	Piloid glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Pilomyxoid astrocytoma CNS WHO grade 1	Pilomyxoid astrocytoma	
Release 47 liftover	"Pilomyxoid astrocytoma subtype of pilocytic astrocytoma, CNS WHO Grade 1"	Pilomyxoid astrocytoma	
Release 47 liftover	"Pilomyxoid astrocytoma, WHO grade II"	Pilomyxoid astrocytoma	
Release 47 liftover	"Pineal anlage tumor, WHO grade 4"	"Neoplasm, NOS"	
Release 47 liftover	Pineal parenchymal tumor	"Neoplasm, NOS"	
Release 47 liftover	Pineal parenchymal tumor of intermediate differentiation (CNS WHO grade 3)	Pineal parenchymal tumor of intermediate differentiation	
Release 47 liftover	Pineal parenchymal tumor of intermediate differentiation (PPTID)	Pineal parenchymal tumor of intermediate differentiation	
Release 47 liftover	"Pineal parenchymal tumor of intermediate differentiation, CNS WHO Grade 2"	Pineal parenchymal tumor of intermediate differentiation	
Release 47 liftover	"Pineal parenchymal tumor of intermediate, differentiation, CNS WHO Grade 2"	Pineal parenchymal tumor of intermediate differentiation	
Release 47 liftover	Pineal tumor	"Neoplasm, NOS"	
Release 47 liftover	Pinealoblastoma	Pineoblastoma	
Release 47 liftover	"Pinealoblastoma, WHO grade 4"	Pineoblastoma	
Release 47 liftover	"Pineoblastoma, CNS WHO Grade 4"	Pineoblastoma	
Release 47 liftover	"Pineoblastoma, CNS WHO Grade IV"	Pineoblastoma	
Release 47 liftover	"Pineoblastoma, WHO grade 4"	Pineoblastoma	
Release 47 liftover	Pituitary Adenoma	Pituitary Adenoma / Pituitary Neuroendocrine Tumour	
Release 47 liftover	Pituitary adenoma with primary ACTH expression	Pituitary Adenoma / Pituitary Neuroendocrine Tumour	
Release 47 liftover	Pituitary tumor	"Neoplasm, NOS"	
Release 47 liftover	"Platal lesion, Epithelial - Myoepithelial Carcinoma"	Unknown	
Release 47 liftover	Pleomorphic and spindle cell-rich sarcomatoid neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Pleomorphic glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Pleomorphic sarcoma	"Sarcoma, NOS"	
Release 47 liftover	Pleomorphic xanthoastrocytoma with differential of pilocytic and other circumscribe gliomas	Pleomorphic Xanthoastrocytoma	
Release 47 liftover	"Pleomorphic xanthoastrocytoma, CNS WHO Grade 2"	Pleomorphic Xanthoastrocytoma	
Release 47 liftover	"Pleomorphic xanthoastrocytoma, CNS WHO grade 3"	Pleomorphic Xanthoastrocytoma	
Release 47 liftover	"Pleomorphic xanthoastrocytoma, WHO Grade 2"	Pleomorphic Xanthoastrocytoma	
Release 47 liftover	Pleuropulmonary blastoma (type 1)	Pleuropulmonary blastoma	
Release 47 liftover	"Pleuropulmonary blastoma, solid, with anaplasia"	Pleuropulmonary blastoma	
Release 47 liftover	"Pleuropulmonary blastoma, type 1"	Pleuropulmonary blastoma	
Release 47 liftover	"Pleuropulmonary blastoma, type 1r"	Pleuropulmonary blastoma	
Release 47 liftover	"Pleuropulmonary blastoma, type II/III"	Pleuropulmonary blastoma	
Release 47 liftover	"Pleuropulmonary blastoma, type II/III, DICER1-associated"	Pleuropulmonary blastoma	
Release 47 liftover	Plexifrom fibrohistiocytic tumor	Plexiform fibrohistiocytic tumor	
Release 47 liftover	Polymorphous low grade neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Polymorphous low grade neuroepithelial tumor of the young	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	Polymorphous low grade neuroepithelial tumour of the young CNS WHO grade 1	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	Polymorphous low-grade neuro epithelial tumor of the young	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	Polymorphous low-grade neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Polymorphous low-grade neuroepithelial tumor of the young (PLNTY	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	Polymorphous Low-grade neuroepithelial tumor of the young (PLNTY)	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	Polymorphous low-grade neuroepithelial tumor of the young (PLNTY; right temporal lobe of brain)	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	"Polymorphous low-grade neuroepithelial tumor of the young, CNS WHO grade 1"	Polymorphous low-grade neuroepithelial tumor of the young	
Release 47 liftover	Polypoid adenosarcoma with foci of rhabdomyosarcomatous differentiation	Adenosarcoma	
Release 47 liftover	Pontine region tumor	"Neoplasm, NOS"	
Release 47 liftover	"Poorly differentiated adenocarcinoma, likely of enteric origin"	"Adenocarcinoma, NOS"	
Release 47 liftover	"Poorly differentiated cellular embryonal tumor in the dorsal aspect of the third ventricle, most suggestive of pineoblastoma"	"Embryonal Tumors, NOS"	
Release 47 liftover	Poorly differentiated chordoma	Chordoma	
Release 47 liftover	Poorly differentiated follicular carcinoma	"Follicular carcinoma, NOS"	
Release 47 liftover	Poorly differentiated high grade carcinoma	"Carcinoma, NOS"	
Release 47 liftover	Poorly differentiated high-grade malignant neoplasm with similar histomorphology to prior resection (case SP-25-07567) and core biopsy (SP-25-19211)	"Neoplasm, malignant"	
Release 47 liftover	Poorly differentiated high-grade tumor	"Neoplasm, malignant"	
Release 47 liftover	Poorly differentiated malignant epithelioid neoplasm with INI1 loss	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	Poorly differentiated malignant neoplasm	"Neoplasm, malignant"	
Release 47 liftover	Poorly differentiated malignant neoplasm consistent with embryonal rhabdomyosarcoma	"Neoplasm, malignant"	
